,_id,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,tags,difficulties,spotify_id,sp_title,sp_artist,sp_artist_id,artist_genres,album,album_released,album_type,sp_duration,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,bs_map_link,spotify_link,artist_match,title_match,duration_difference,match_conclusion,upvotes,downvotes,score,last_fetched
1291,654143d3ea5b54daf5f49c24,326cf,Synth Wars 1,Moose with a Scarf,dereknalox123,4288823,174.0,False,2023-05-17T02:00:07.476239Z,"['speed', 'electronic', 'dance']",['ExpertPlus'],0pa2vs5Hu61rpS7FdbjKd2,Synth Wars 1,Moose with a Scarf,2rUfMUDEi63j4WsvL3ULgP,[],Neon Kingdom,2022-07-08,album,171834.0,0.517,0.845,9.0,-5.721,0.0,0.361,0.00438,0.23,0.0995,0.25,169.184,4.0,2.0,https://beatsaver.com/maps/326cf,http://open.spotify.com/track/0pa2vs5Hu61rpS7FdbjKd2,True,True,2.165999999999997,True,23,1,0.8675,2023-10-31
1292,654143d4ea5b54daf5f49c25,326ce,soli patttern test,weezer,solsticestar,101330,210.0,False,2023-05-17T01:51:33.487086Z,"['challenge', 'tech']","['Hard', 'Expert', 'ExpertPlus']",3mwvKOyMmG77zZRunnxp9E,Buddy Holly,Weezer,3jOstUTkEu2JkjvRdBA5Gu,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",Weezer,1994-05-10,album,159226.0,0.556,0.92,8.0,-4.606,1.0,0.0367,0.00271,0.00021,0.117,0.771,121.138,4.0,77.0,https://beatsaver.com/maps/326ce,http://open.spotify.com/track/3mwvKOyMmG77zZRunnxp9E,True,False,50.774,False,0,0,0.5,2023-10-31
1293,654143d4ea5b54daf5f49c26,326cd,Voila,"Barbara Pravi
",ScuffedItalian,107013,182.0,False,2023-05-17T01:47:50.491807Z,['challenge'],['Expert'],1uAOCTevGnyKIDbgZdOCnE,Voilà,Barbara Pravi,3L4wiBOSDLkJ18OISXZDA8,"['french pop', 'nouvelle chanson francaise']",Voilà,2020-11-06,album,176815.0,0.447,0.337,2.0,-8.665,0.0,0.0631,0.773,0.0,0.298,0.603,135.379,4.0,65.0,https://beatsaver.com/maps/326cd,http://open.spotify.com/track/1uAOCTevGnyKIDbgZdOCnE,True,False,5.185000000000002,True,2,1,0.5732,2023-10-31
1294,654143d4ea5b54daf5f49c27,326cc,Laboratory,Dville Santa,anodize,4284578,152.0,False,2023-05-17T01:47:20.541575Z,"['tech', 'accuracy', 'comedy-meme', 'hip-hop-rap']",['ExpertPlus'],7aIPqkQLLGTh0ugniupbLp,Laboratory,Dville Santa,6SXkGsBRku0ObTbKGy0xuI,['meme'],Meeboo <3,2022-03-09,album,150099.0,0.904,0.465,8.0,-10.721,1.0,0.439,0.761,0.0109,0.149,0.075,97.582,4.0,48.0,https://beatsaver.com/maps/326cc,http://open.spotify.com/track/7aIPqkQLLGTh0ugniupbLp,True,True,1.9010000000000105,True,35,1,0.8985,2023-10-31
1295,654143d4ea5b54daf5f49c28,326cb,Tricolore Airline,atsuzokun,bloodcloak,71661,204.0,False,2023-05-17T00:56:58.408252Z,"['balanced', 'dance-style', 'vocaloid', 'j-pop']","['Hard', 'Expert']",2bm9eBd8hXPxEdgizCcEWX,Passion,twocolors,7ACEUD7UsmmXrnj4OLt8f9,"['edm', 'pop dance', 'pop edm']",Passion,2021-09-03,album,165365.0,0.695,0.756,4.0,-7.659,0.0,0.0423,0.0449,0.000174,0.298,0.413,123.033,4.0,48.0,https://beatsaver.com/maps/326cb,http://open.spotify.com/track/2bm9eBd8hXPxEdgizCcEWX,False,False,38.63499999999999,False,29,0,0.9113,2023-10-31
1296,654143d4ea5b54daf5f49c29,326c5,PANDEMONIUM,NF,Epix-Fusion,4284592,198.0,False,2023-05-16T23:57:54.510625Z,"['accuracy', 'balanced', 'hip-hop-rap']",['ExpertPlus'],0fLGrGCrbziOu3dnjQMCWS,PANDEMONIUM,NF,6fOMl44jA4Sp5b9PpYCkzz,"['hip hop', 'pop rap']",HOPE,2023-04-07,album,197006.0,0.847,0.714,4.0,-4.42,0.0,0.115,0.44,0.0,0.271,0.302,98.996,3.0,68.0,https://beatsaver.com/maps/326c5,http://open.spotify.com/track/0fLGrGCrbziOu3dnjQMCWS,True,True,0.9939999999999998,True,73,4,0.904,2023-10-31
1297,654143d4ea5b54daf5f49c2a,326c3,[V3]IDONTUNDERSTAND,CG5 X David Archuleta,BanditByTheStreet,129288,172.0,False,2023-05-16T23:32:51.056061Z,"['balanced', 'dance-style', 'dance']",['ExpertPlus'],4n19ZKX7g2DtVBccLO60OH,Vibrant Eyes,CG5,3YJDqtTSjydvUpTvU1fJ6O,"['otacore', 'pixel', 'rhythm game']",Vibrant Eyes,2021-09-03,album,135432.0,0.661,0.743,0.0,-6.224,0.0,0.0292,0.0758,0.0,0.318,0.577,139.959,4.0,58.0,https://beatsaver.com/maps/326c3,http://open.spotify.com/track/4n19ZKX7g2DtVBccLO60OH,True,False,36.56800000000001,False,9,0,0.8294,2023-10-31
1298,654143d4ea5b54daf5f49c2b,326c1,BS Recall,Tanger,Specture7,78832,306.0,False,2023-05-17T22:24:03.322851Z,"['balanced', 'tech', 'electronic', 'dubstep']",['ExpertPlus'],78LFArDoeDWivH5o2eqr7I,BIKE,Tanger,77JLoURVdxC8jnr3DPY05x,['meme'],BONUS EP,2023-01-24,album,99565.0,0.771,0.906,4.0,-0.6,0.0,0.0791,0.000661,0.198,0.208,0.523,104.981,4.0,60.0,https://beatsaver.com/maps/326c1,http://open.spotify.com/track/78LFArDoeDWivH5o2eqr7I,True,False,206.435,False,0,1,0.3871,2023-10-31
1299,654143d4ea5b54daf5f49c2c,326be,Queens of Kings,Alessandra,MidoTheFloof,104986,150.0,False,2023-05-16T22:23:10.072775Z,"['tech', 'techno', 'funk-disco']",['ExpertPlus'],14LdhxElpZS0rKVV4nxtdA,Queen of Kings,Alessandra,35HMF6Y8dSzNfeJs3X65fw,[],Queen of Kings,2023-01-09,album,147979.0,0.563,0.908,4.0,-4.25,0.0,0.0868,0.0696,0.0,0.328,0.171,125.972,4.0,77.0,https://beatsaver.com/maps/326be,http://open.spotify.com/track/14LdhxElpZS0rKVV4nxtdA,True,False,2.0209999999999866,True,37,10,0.7491,2023-10-31
1300,65414a77218016216e3f4c51,324f5,Calamari Inkantation 3MIX,Squid Sisters,CMP1111,75106,255.0,False,2023-05-13T13:43:05.437149Z,"['video-game-soundtrack', 'electronic', 'balanced', 'challenge']","['ExpertPlus', 'Easy', 'Expert']",5ZGZb7r4O0EEwU3nvEGQ7S,Calamari Inkantation (Remix) - Vocaloid Version,SayMaxWell,50hbotxVDC7jjk24PfKJa2,"['otacore', 'pixel', 'rhythm game', 'speedrun']",Calamari Inkantation (Remix) [Vocaloid Version],2017-02-25,album,124254.0,0.414,0.925,8.0,-3.253,1.0,0.0528,0.000464,0.0021,0.0223,0.587,144.907,4.0,42.0,https://beatsaver.com/maps/324f5,http://open.spotify.com/track/5ZGZb7r4O0EEwU3nvEGQ7S,False,False,130.74599999999998,False,28,4,0.8122,2023-10-31
