bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,upvotes,downvotes,score,tags,difficulties,last_fetched,spotify_id,bs_map_link,spotify_link,sp_title,sp_artist,sp_artist_id,album,album_released,album_type,sp_duration,artist_genres,sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,sp_popularity,artist_match,title_match,duration_difference,match_conclusion
387d7,I'm Gonna Be (500 Miles),The Proclaimers,tastum,176168,217,False,2024-01-01T05:09:04.123358Z,32,3,0.8485,"['balanced', 'rock']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2024-01-12,67iAlVNDDdddxqSD2EZhFs,https://beatsaver.com/maps/387d7,http://open.spotify.com/track/67iAlVNDDdddxqSD2EZhFs,I'm Gonna Be (500 Miles),The Proclaimers,1A92IAcd7A6npCA33oGM5i,Sunshine on Leith,1988,album,219466.0,"['celtic rock', 'scottish rock']",0.851,0.551,4.0,-5.177,1.0,0.0396,0.151,0.0,0.0827,0.807,131.922,4.0,80.0,True,True,2.466000000000008,True
38717,C:// You Nex-Time,"takehirotei as ""Infinite Limit""",komeijisan051,4285211,406,False,2024-01-01T03:06:37.562574Z,21,1,0.8598,"['balanced', 'electronic', 'hardcore']","['Expert', 'ExpertPlus']",2024-01-12,6SIUbcqmVn4zTVDLeY5mMC,https://beatsaver.com/maps/38717,http://open.spotify.com/track/6SIUbcqmVn4zTVDLeY5mMC,Infinite Love,Emile Mosseri,0BNz24TKUn8Ov1ApFkLzA1,Kajillionaire (Original Motion Picture Soundtrack),2020,album,145688.0,[],0.246,0.217,3.0,-18.002,1.0,0.0422,0.977,0.957,0.206,0.0997,124.801,4.0,59.0,False,False,260.312,False
387ca,"""Ill Sharp Minor""",Rukkus,Remec,4285621,71,False,2024-01-01T02:52:50.090748Z,3,1,0.625,['none'],['ExpertPlus'],2024-01-12,1DubNCvAUMjjObpaPhWtYs,https://beatsaver.com/maps/387ca,http://open.spotify.com/track/1DubNCvAUMjjObpaPhWtYs,Ill Sharp Minor,Rukkus,2uFAb0ANFkjlalOG5kQH60,Ill Sharp Minor,2013,album,185364.0,[],0.335,0.921,6.0,-3.799,0.0,0.101,0.000508,0.0472,0.152,0.178,139.896,4.0,29.0,True,True,114.364,True
387c9,what in the accual fuck is this,Who tf knows,pikapoo,169218,13,False,2024-01-01T02:51:45.238407Z,2,0,0.6771,"['accuracy', 'speed', 'speedcore', 'comedy-meme']",['ExpertPlus'],2024-01-12,6CSZRndxsYQmG5L6ZA5qER,https://beatsaver.com/maps/387c9,http://open.spotify.com/track/6CSZRndxsYQmG5L6ZA5qER,Who The F*ck Is That Guy,Mesci,7AlRvtc9fmeg0s2Ty7wmD8,M&M,2023,album,124249.0,[],0.451,0.593,10.0,-7.937,0.0,0.44,0.164,0.0,0.175,0.388,77.326,1.0,36.0,False,False,111.249,False
387c8,honestly i dont even know what happening myself,idk,pikapoo,169218,59,False,2024-01-01T02:50:56.642229Z,1,2,0.4268,"['challenge', 'speed', 'speedcore', 'comedy-meme']",['ExpertPlus'],2024-01-12,No artist/title results on Spotify,https://beatsaver.com/maps/387c8,No Link Available,Who The F*ck Is That Guy,Mesci,7AlRvtc9fmeg0s2Ty7wmD8,M&M,2023,album,124249.0,[],0.451,0.593,10.0,-7.937,0.0,0.44,0.164,0.0,0.175,0.388,77.326,1.0,36.0,False,False,65.249,False
387c4,FastenYourSeatbelts,F-777,Basef134,148647,157,False,2024-01-01T02:42:38.575540Z,1,1,0.5,"['tech', 'electronic', 'challenge']","['ExpertPlus', 'ExpertPlus']",2024-01-12,1NaYRMcGd3poWBu6Z9QZK6,https://beatsaver.com/maps/387c4,http://open.spotify.com/track/1NaYRMcGd3poWBu6Z9QZK6,Fasten Your Seatbelts,F-777,4c7ssQj66cEGMq6viiJdTZ,Ludicrous Speed,2015,album,156631.0,['speedrun'],0.231,0.715,5.0,-9.022,0.0,0.121,0.000382,0.941,0.487,0.137,190.143,4.0,26.0,True,False,0.3689999999999998,True
387c3,Am I Dreaming,"Metro Boomin, A$AP Rocky, Roisee",space-cadet,146901,259,False,2024-01-01T02:41:12.615239Z,11,1,0.7946,"['balanced', 'dance-style', 'tv-movie-soundtrack', 'hip-hop-rap']",['Expert'],2024-01-12,6Ec5LeRzkisa5KJtwLfOoW,https://beatsaver.com/maps/387c3,http://open.spotify.com/track/6Ec5LeRzkisa5KJtwLfOoW,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,album,256026.0,['rap'],0.599,0.526,9.0,-7.812,0.0,0.0385,0.0408,0.00256,0.209,0.134,90.018,4.0,82.0,True,True,2.9739999999999895,True
387c2,Ludicrous Speed,F-777,Speedy0248,4288107,176,False,2024-01-01T02:38:02.633024Z,1,1,0.5,['none'],['ExpertPlus'],2024-01-12,14x9UseN928mYR4G1DRhRs,https://beatsaver.com/maps/387c2,http://open.spotify.com/track/14x9UseN928mYR4G1DRhRs,Ludicrous Speed 1,F-777,4c7ssQj66cEGMq6viiJdTZ,Ludicrous Speed,2015,album,179408.0,['speedrun'],0.287,0.959,2.0,-8.358,0.0,0.388,0.0123,0.958,0.323,0.408,165.787,4.0,42.0,True,True,3.407999999999987,True
387c0,Odo,Ado,Potassium__737,4297557,211,False,2024-01-01T02:33:12.041573Z,8,5,0.583,"['tech', 'dance-style', 'j-pop']",['ExpertPlus'],2024-01-12,37bNBNB332HXbSy6079cws,https://beatsaver.com/maps/387c0,http://open.spotify.com/track/37bNBNB332HXbSy6079cws,Odo,Ado,6mEQK9m2krja6X1cfsAjfl,Kyougen,2022,album,210346.0,"['j-pop', 'japanese teen pop']",0.709,0.962,1.0,-0.753,1.0,0.106,0.153,1.77e-06,0.621,0.767,128.013,4.0,68.0,True,True,0.6539999999999964,True
387b9,A HAPPY NEW YEAR,Yumi Matsutoya,hakoneko,4348590,36,False,2024-01-01T02:01:22.730554Z,31,4,0.8245,['none'],['ExpertPlus'],2024-01-12,6pHNCcSbtNVkjzS8MagVln,https://beatsaver.com/maps/387b9,http://open.spotify.com/track/6pHNCcSbtNVkjzS8MagVln,A HAPPY NEW YEAR,Yumi Matsutoya,1LQQtqc1vQ1neUgZrjYlEU,昨晩お会いしましょう,1981,album,223584.0,"['classic j-pop', 'j-pop', 'japanese singer-songwriter']",0.47,0.225,3.0,-13.866,0.0,0.0309,0.866,8e-05,0.0941,0.364,148.447,4.0,37.0,True,True,187.584,True
