,bs_map_id,title,artist,mapper_name,mapper_id,duration_seconds,auto_mapped,upload_date,upvotes,downvotes,score,tags,difficulties,last_fetched
39,36cf0,Teo,Omoi,chikinbiskit,4284497,210,False,2023-11-01T18:09:24.279075Z,22,4,0.7807,"['balanced', 'j-rock', 'vocaloid']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2023-11-01
40,36ced,Moulding Manor Arrange Ver.,mitsuami_t2,fanatic1219,4349767,86,False,2023-11-02T02:51:53.816468Z,0,0,0.5,['none'],"['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus', 'Expert', 'ExpertPlus']",2023-11-01
41,36cdd,Pink Panik!!,Nanahira&Camellia,siro,2464,229,False,2023-11-01T11:15:05.420365Z,13,0,0.8598,['none'],['ExpertPlus'],2023-11-01
42,36cdc,"Hana to, Yuki to, Drum n Bass",kanone feat. Sennzai,rodysan,4284718,144,False,2023-11-01T08:55:46.664444Z,11,0,0.8465,"['balanced', 'speed', 'drum-and-bass']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2023-11-01
43,36ccd,"Over ""Quartzer""",末吉秀太,ken-UMA,164213,75,False,2023-11-01T08:06:00.231330Z,4,0,0.75,"['accuracy', 'speed', 'tv-movie-soundtrack']",['Expert'],2023-11-01
44,3665d,Halzion,YOASOBI,chikinbiskit,4284497,199,False,2023-11-01T06:00:00.376065Z,30,3,0.8419,"['balanced', 'j-pop']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus']",2023-11-01
45,36cc8,dansmuziek,gladde paling,MXW_skulls,159767,101,False,2023-11-01T04:01:24.702184Z,0,0,0.5,['none'],['ExpertPlus'],2023-11-01
46,36c93,KOQSHO,t+pazolite & RoughSketch,CMP1111,75106,238,False,2023-11-01T03:40:01.340918Z,3,1,0.625,"['hardcore', 'electronic', 'balanced', 'challenge']","['Easy', 'Normal', 'Hard', 'Expert', 'ExpertPlus', 'Normal']",2023-11-01
47,36cc5,BATTLE NO.1,"TANO*C Sound Team

",VoltageChallengePosts,4349351,13,False,2023-11-01T02:04:44.840416Z,1,0,0.6129,['none'],['ExpertPlus'],2023-11-01
48,36cc2,Don't be a coward,Staswalle,minerdiscovery,164421,114,False,2023-11-01T01:57:00.149554Z,0,1,0.3871,['none'],['Easy'],2023-11-01
49,36cbe,Escape from the City - Qumu Remix,Qumu,4orizon,4332614,133,False,2023-11-01T00:19:38.718807Z,15,0,0.8704,"['dance-style', 'video-game-soundtrack']","['Hard', 'Expert', 'ExpertPlus']",2023-11-01
